repositories,stars_count,forks_count,issues_count,pull_requests,contributors,language
octocat/Hello-World,0,0,612,316,2,
EddieHubCommunity/support,271,150,536,6,71,
ethereum/aleth,0,0,313,27,154,C++
localstack/localstack,0,0,290,30,434,
education/classroom,0,589,202,22,67,
shobhit97/open-gpstracker,0,0,172,0,3,
donnemartin/system-design-primer,0,0,164,164,115,
jgthms/bulma,0,0,151,159,380,CSS
jgthms/bulma,0,0,151,159,380,CSS
sukritishah15/DS-Algo-Point,956,289,142,16,186,
taniarascia/comments,4,0,117,0,0,
trailofbits/algo,0,0,115,10,163,Jinja
octocat/octocat.github.io,233,198,106,18,0,CSS
felangel/bloc,0,0,85,6,169,Dart
iamrajiv/new-keptn-docs-engine,0,1,81,3,0,
SauravMukherjee44/Aec-Library-Website,5,2,81,29,184,
mattgallagher/AudioStreamer,0,566,75,6,7,
WhiteHouse/petitions,0,353,65,16,25,
EddieHubCommunity/LinkFree,0,956,63,22,658,
rrousselGit/freezed,0,169,61,6,73,Dart
google/accompanist,0,389,59,6,75,Kotlin
brettkromkamp/contextualise,960,43,57,0,6,
devraj/google-diff-match-patch,0,0,57,0,0,
ritwickdey/live-server-web-extension,598,237,56,8,3,
ritwickdey/live-server-web-extension,598,237,56,8,3,
WhiteHouse/cyber-acquisitions,8,37,54,5,5,CSS
xoreaxeaxeax/sandsifter,0,398,53,9,0,
EddieHubCommunity/awesome-github-profiles,925,612,51,9,434,
adrianhajdin/project_cryptoverse,0,298,49,16,2,
openfoodfacts/api-documentation,11,7,48,7,10,
florinpop17/app-ideas,0,0,46,235,68,
adrianhajdin/project_e_commerce,0,450,45,5,0,
samczsun/Skype4J,144,53,43,2,10,
donnemartin/gitsome,0,460,43,14,28,
education/classroom-assistant,101,39,43,2,17,
aviaryan/Clipjump,332,58,42,2,3,AutoHotkey
antonmedv/expr,0,216,41,12,33,Go
education/teachers,176,28,39,0,2,
octocat/hello-worId,176,114,35,9,0,
arogozhnikov/einops,0,249,34,5,18,
SauravMukherjee44/CodeIN-Community-Website,70,142,34,8,65,
donnemartin/haxor-news,0,177,34,5,9,
anuraghazra/anuraghazra,228,0,33,4,3,
sagesharp/foss-heartbeat,297,40,33,3,11,
donnemartin/interactive-coding-challenges,0,0,32,36,42,
khannakshat7/Elektra,38,85,32,18,20,
ethereum/act,126,22,31,0,9,Haskell
gylidian/gylidian.github.io,0,0,31,0,0,
donnemartin/saws,0,278,30,6,8,
localstack/docs,21,32,28,6,44,SCSS
adrianhajdin/project_graphql_blog,977,233,28,5,0,
garimasingh128/awesome--projects,440,127,27,14,30,Jupyter Notebook
WhiteHouse/api-standards,0,910,27,7,12,
openfoodfacts/hunger-games,2,6,27,2,9,
adrianhajdin/ecommerce_sanity_stripe,907,220,27,18,0,
education/teachers_pet,184,74,26,9,9,
offensive-security/kali-nethunter,0,897,26,3,33,
octocat/git-consortium,135,67,25,10,0,
btholt/complete-intro-to-react,0,961,25,11,15,
lynxerzhang/JSSkills,0,0,25,0,0,
